Boundary ID,System Name,Boundary Type,System Type,Population Served,Connections,Census Population Allocated,Arsenic (ppb),Hexavalent Chromium (ppb),Cadmium (ppb),DBCP (ppb),Lead (ppb),Nitrate (ppm),Perchlorate (ppb),PCE (ppb) ,TCE (ppb),TCP (ppb),TTHMs (ppb),"Combination Radium 226, 228 (PCI/L)",Uraniuim (PCI/L)
61924,Township,Township,NA,NA,NA,290,,,,,,2.805,,,,,,,
61925,Township,Township,NA,NA,NA,625,4.576,,0,0.204,0,3.244,0,0,0,0,0,,1.711
61927,Township,Township,NA,NA,NA,13,0,,0,0.4,0,4.677,0,0,0,0,0,,0.707
61929,Township,Township,NA,NA,NA,768,2,,0,0.258,0,26.55,0,0,0,,,,
61932,Township,Township,NA,NA,NA,67,9.2,,0,0.51,0,1.414,0,0,0,,,,0.707
61953,Township,Township,NA,NA,NA,1038,0.075,,0,0.08,0,6.537,0,0,0,0,0,,0.707
61986,Township,Township,NA,NA,NA,1191,0,,0,0,0,7.162,0,0,0,0,0,0,0.707
61988,Township,Township,NA,NA,NA,72,,,,,,1.414,,,,,,,
62033,Township,Township,NA,NA,NA,138,,,,,,,0,,,,,,
62187,Township,Township,NA,NA,NA,989,0,,0,1,0,3.098,0,0,0,0,0,0,0.707
62196,Township,Township,NA,NA,NA,345,0,,0,,0,2.734,,0,0,0,0,,
62222,Township,Township,NA,NA,NA,2,,,,,,1.414,,,,,,,
62223,Township,Township,NA,NA,NA,27,0.356,,0,,0,1.425,0,0.091,0.038,0,3.88,,2.638
62224,Township,Township,NA,NA,NA,72,7.167,,0,0,2.65,1.414,,,,,,,
62227,Township,Township,NA,NA,NA,80,,,,,,1.414,,,,,,,
62229,Township,Township,NA,NA,NA,0,,,,,,1.414,,,,,,,
62230,Township,Township,NA,NA,NA,241,7.353,,0,0.25,0,1.414,0,0,0,0,0,,0.798
62287,Township,Township,NA,NA,NA,91,,,,,,4.941,,,,,,,
62300,Township,Township,NA,NA,NA,26,0,,0,0.4,0,1.414,0,0,0,,,,0.707
62311,Township,Township,NA,NA,NA,2756,0,,0,,0,15.4,0,0,0,,0,0,
62322,Township,Township,NA,NA,NA,99,,,,,,1.414,,,,,,,
62329,Township,Township,NA,NA,NA,371,1.4,,0,0,0,2.974,0,0,0,,0,,0.707
62333,Township,Township,NA,NA,NA,164,,,,,,3.669,,,,,,,
62338,Township,Township,NA,NA,NA,1709,1.596,3.916,0.021,0.077,0.387,9.546,0,0.811,0.021,0,0.127,,0.806
62339,Township,Township,NA,NA,NA,1693,3.501,8.9,0,0.057,0,7.787,0,0,0,0,0,,0.707
62340,Township,Township,NA,NA,NA,70,,,,0.51,,,0,0,0,,,,
62341,Township,Township,NA,NA,NA,193,34.038,,0,0.51,0,1.414,0,0,0,,,,0.707
62346,Township,Township,NA,NA,NA,242,,,,,,5.546,,,,,,,
62347,Township,Township,NA,NA,NA,1087,0.748,,0,0.26,0,6.751,0,0,0,0,0.206,,0.707
62349,Township,Township,NA,NA,NA,200,0,,0,,0,6.394,0,0,0,0,0,,
62351,Township,Township,NA,NA,NA,219,7,,0,,23,5.663,0,0,0,,0,,
62446,Township,Township,NA,NA,NA,169,0.247,16.85,0,0.034,0,28.58,0,0,0,0,0,0.071,0.784
62447,Township,Township,NA,NA,NA,409,5.1,,0,0.34,0,55.557,0,0,0,,0,,1.235
62455,Township,Township,NA,NA,NA,804,0.88,0.843,0,0.036,0,11.077,0.23,1.626,0,0,0.778,,1.945
62464,Township,Township,NA,NA,NA,4137,5.571,,0,0.08,0,5.776,0,0,0,0,0.061,0,0.707
62465,Township,Township,NA,NA,NA,2695,0.859,4.054,0.022,0.051,0.277,9.998,0.32,0.048,0.059,0,1.395,,2.191
62470,Township,Township,NA,NA,NA,28999,1.858,3.749,0,0.102,0.116,7.729,0,0.268,0.03,0,0.184,0,0.805
62620,Township,Township,NA,NA,NA,1004,0,,0,0,0,35.307,0,0,0,,0,,
62649,Township,Township,NA,NA,NA,12,,,,,,9.138,,,,,,,
62722,Township,Township,NA,NA,NA,1169,0,,0,,,6.601,0,0,0,0,0,,
62743,Township,Township,NA,NA,NA,1750,3.5,7.9,0,0,0,6.022,0,0,0,0,0,,2.312
62745,Township,Township,NA,NA,NA,102,21.5,,0,0.51,0,1.414,0,0,0,,,,0.707
62746,Township,Township,NA,NA,NA,646,,,,,,3.158,,,,,,,
62747,Township,Township,NA,NA,NA,1542,0,,0,,0.556,13.525,0,0,0,0,0,,8.354
62749,Township,Township,NA,NA,NA,10,,,,,,1.651,,,,,,,
62752,Township,Township,NA,NA,NA,96,0,2.467,0,0,0,13.615,0,0,0,0,0,,0.707
62754,Township,Township,NA,NA,NA,1664,0,,0,0.5,0,11.114,0,0,0,0,0,,4.256
62767,Township,Township,NA,NA,NA,347,,,,0.51,,,,0,0,,,,
62772,Township,Township,NA,NA,NA,404,0,,0,0.4,0,1.753,0,0,0,,,,7.973
62774,Township,Township,NA,NA,NA,299,4,,0,,,5.879,0,0,0,0,0,,
62775,Township,Township,NA,NA,NA,344,7,,0,0.4,0,3.707,0,0,0,,,,0.707
62779,Township,Township,NA,NA,NA,84,,,,,,1.414,,,,,,,
62783,Township,Township,NA,NA,NA,6,,,,,,1.414,,,,,,,
62784,Township,Township,NA,NA,NA,6,,,,,,1.414,,,,,,,
62785,Township,Township,NA,NA,NA,731,4.45,,0,0.34,0,15.919,0,0,0,,,,
62786,Township,Township,NA,NA,NA,289,0.733,,0,0.333,0,2.47,0,0,0,0,0,,0.707
62787,Township,Township,NA,NA,NA,259,4.575,,0,,0,3.649,0,0,0,0,0,,
62791,Township,Township,NA,NA,NA,4244,0.403,23.833,0,0.085,0,36.274,0,0,0,0,0,,0.707
62893,Township,Township,NA,NA,NA,6,,,,0.51,,10.8,,0,0,,,,
